Search_uid,Search_query,region,brand,group,Search_result,Search_uid_sales,Sale
00c8b3e4756ea59ba6a4cda2f3e03cca,CRT-24,1,369,59,1,0,0.0
00cbac70865121e3a22bd3c1c6e8ee86,CES-14,1,369,48,1,0,0.0
00ce2be07b2e398f72eb7af24be6eb45,DRM36012,1,154,46,0,0,0.0
00ce8818ee173dfaab564f4672640383,333114,1,31,12,1,0,0.0
00ce91a140ac01e04ef0fe80a53051a4,48815-48040,1,301,31,0,0,0.0
00d41ea59a28da692bacc9a570a465b5,K20HRU11,1,154,97,1,0,0.0
00d4aafd68678c05cb0b4212d6bbbd79,25403 01,1,141,27,1,0,0.0
00d979c54dda3a8ae3a8c4262a2ecb1e,DCPR8E,0,30,97,1,00d979c54dda3a8ae3a8c4262a2ecb1e,1.0
00dc2c452f2b0c87e29782e5d26f9b44,0415231090,1,1757,49,0,0,0.0
00dcdce89789da5d530a978721aede1b,553384,1,31,12,1,0,0.0
00ddd8808a79f9a1b19d99df9ba67e32,W16EPRU#4,1,154,97,1,0,0.0
00de6bb99e275199e9ebd4b1188058a9,66-414,1,642,10,1,00de6bb99e275199e9ebd4b1188058a9,1.0
00e9a8a7f033c9f1905110d4aa8bd6ee,HI-CAP46T080704X,1,460,18,1,0,0.0
00ea1a9a0b791274741e601031f8763f,343465,1,31,12,1,0,0.0
00ec275c760c27ba23d7ab798f33cdbf,532016010,0,128,17,0,0,0.0
00ed90a863a539df97b1cedd998962e5,C4B-17061,1,625,51,0,0,0.0
00eebf9fd79292e1ba43fb6a29af65ab,DF4104,0,4,4,1,0,0.0
00f3ef005ca23968cc1364fe5af6b35a,5521,1,14,69,1,0,0.0
00f62f9d87e834fdb3996186bfb51a13,4117A018,1,311,94,0,0,0.0
00f6b497d5559b4d79f6b59206029ba9,0 258 986 507,1,160,84,1,0,0.0
00f886002b2f49d60033f7f101d6efc8,CBHO-6,1,369,11,1,0,0.0
00fc6d9d886a9d613bac700929688bdd,GDB1938,0,4,50,1,00fc6d9d886a9d613bac700929688bdd,1.0
00fe73b5901b2ed1bd434a20027e2274,C2276LR,1,499,59,1,0,0.0
00ff05d556cc14bae998aafd9ec53ceb,XF600,0,499,124,1,0,0.0
0102379938d84c8e3ab29f5e583cd3cc,BP6E,1,30,97,1,0,0.0
0106123aeb145cdaf869d9ce02dbd4f5,DCF466P,1,154,55,1,0,0.0
010b2935fbd223a92ae2141c37c3d727,CO-5767,1,499,108,1,0,0.0
010d515fd5fe05a73b8bd5737c5bde2b,02127,1,124,94,1,010d515fd5fe05a73b8bd5737c5bde2b,1.0
010db36e167792931c5022559408dfe7,C4T-12961,1,625,51,1,0,0.0
0116a0087549fbe1f329f0eb75eebd1f,339372,1,31,12,1,0,0.0
0117b9bcd2196c03a00f47a6734fe947,BD-8028,1,499,50,1,0117b9bcd2196c03a00f47a6734fe947,1.0
011882cc6030df4fc5ceaf0f5498f48c,349079,1,31,12,1,0,0.0
011fa899583ca8ebe81a67b21aff0578,JBU692,1,4,27,1,0,0.0
0123e162882603c39ca452ce010096fd,334094,1,31,12,0,0,0.0
01296d28b6d09dd749b6a9105f4b32d6,PP850,0,13,47,1,01296d28b6d09dd749b6a9105f4b32d6,1.0
012ca7a4a68a283540aa7f18e4923035,C9303,1,499,27,1,0,0.0
01321b0ec687c59004d3f60cb1c7aa92,CUK 3540,0,131,52,1,01321b0ec687c59004d3f60cb1c7aa92,1.0
0132ed6ea025845b448df5f9e8676555,339169,1,31,12,1,0,0.0
0136081622a56f4d704726985a71c708,DF4828S,1,4,4,1,0,0.0
01392dad7be0dc2c6fb31b6509185580,SILZKAR7B11,1,30,96,0,01392dad7be0dc2c6fb31b6509185580,1.0
013b1212d7e194f22212858f7fa3dd79,3401701,1,5,46,0,0,0.0
013e3a3dd89fda7f7b53b58fc1d32424,31726-3JX0A,1,307,56,0,0,0.0
0145f178b92582ec289054818f521bae,GDB2027,0,4,50,1,0,0.0
01465e2863caef2dc102b19b6c994f34,VKBA3255,0,148,18,0,0,0.0
0149bd8ce62fc50bc26cb3c6dab6e8c7,PFB401,0,4,89,1,0149bd8ce62fc50bc26cb3c6dab6e8c7,1.0
014d72430d84ca0814875374e48f0091,HGB35312,1,183,19,1,014d72430d84ca0814875374e48f0091,1.0
014dd4874e00ce93f856b23818f127db,DF4048,0,4,4,1,0,0.0
014fd399593f03db4849edd40e3009ae,G16677,1,63,12,1,0,0.0
0152ef8e69b421e5baa9f2eee9dcdd04,DAC3872W-8CS81,1,460,18,1,0152ef8e69b421e5baa9f2eee9dcdd04,1.0
0155454db35f2221966cd22fc85a2475,383428E000,1,308,68,0,0,0.0
01569a36097910ea34ccaca75767b7af,OC456,0,29,49,1,0,0.0
01579675dedede40b7b09ac425b8960a,V0042,1,358,126,1,0,0.0
01590ec2bdd8691a4d837bbafca94139,0-N2042S,0,161,17,1,0,0.0
015afc42e2c79ef841610a63a7198867,334361,1,31,12,1,0,0.0
015d78288ae2a295b81caeadd520c8e8,36161,0,1328,143,1,0,0.0
016275b202e44be66c1990ed363bfcf2,O22049LR,0,499,12,1,016275b202e44be66c1990ed363bfcf2,1.0
01651d0e630747a966508d1ee8c99ebc,CEHO-18,1,369,48,1,0,0.0
01660a15fffeeb47f13362a4395760bc,334306,1,31,12,1,0,0.0
0167658a32a44b4001cf34fe81208459,N2432WS,1,596,27,0,0,0.0
01693e487ba8cf899c22c630375f1bd8,64212,0,224,6,1,01693e487ba8cf899c22c630375f1bd8,1.0
016b53b60702a6469fce0fff7778374b,6465,0,205,104,1,016b53b60702a6469fce0fff7778374b,1.0
016c1679bd9b9fc698c2cd8905b2742c,V172085636,1,358,143,0,0,0.0
0173c143df5f643f563a09daa02bf572,AU08385LXLL588,0,183,36,0,0,0.0
017f7f2bab1d78280cf0731f67776990,713678790,0,148,19,0,0,0.0
017fabe53257b2b10880a942964513ca,OC606,0,29,49,1,017fabe53257b2b10880a942964513ca,1.0
017fe254ef9654acf065d7e43d1e2b02,5630,0,22,48,1,0,0.0
0183b7e2ef6faa9b72b835482532d49b,N25312,1,596,27,0,0,0.0
018402b789f16d96862acb3f08073e96,XF650,0,499,124,1,0,0.0
018513f701b0a53bee84861425f84933,260052,0,179,38,1,0,0.0
01856f1581426c4e308d68e42727ec52,344441,1,31,12,1,0,0.0
0186062916d4cff2f448765590811fa5,334320,1,31,12,1,0,0.0
0189a79e66f483f2b4d54a383c9a2106,349035,0,31,12,0,0,0.0
018b2b387f4eda8f1f00090916bed3c9,PB-5365,0,499,17,0,0,0.0
018e6a58c184117135121cc0fc5dcac5,T25AZ240,1,596,27,0,0,0.0
0190766b06d7fd50be2a4ee99277f7cd,K1126A,1,13,52,1,0,0.0
019230c6c5088a0e25847556f17d10e5,BHW903,1,4,38,1,0,0.0
01941b455cef7a1e7d9f7fdebc83f6f3,713610490,0,148,19,0,01941b455cef7a1e7d9f7fdebc83f6f3,1.0
0196b3136950ba02623e5a306c8254f5,VKBA3643,0,148,19,0,0,0.0
019851e707c11e540139b854bc80adca,BD-1801,1,499,50,0,0,0.0
019967ab2473b18c555663edd497d576,09321,0,124,19,1,019967ab2473b18c555663edd497d576,1.0
0199a85a3eb5114340a43ab515273db4,90311-42046,1,301,76,0,0,0.0
019a67461651a348d4b00751ba208eaa,K015603XS,0,14,15,1,0,0.0
019abf10ff4bd2b84efa3d3d35d821c9,RC-FD807,1,30,109,0,0,0.0
019ebee1e1d0f9d03ed8e8ef715060f3,PFB401,0,4,89,1,019ebee1e1d0f9d03ed8e8ef715060f3,1.0
01a2b0a7c52b9b05f0acfc40fe0f8621,K015669XS,0,14,15,1,0,0.0
01a62aeb4fd9ad4b3118e503752bac17,GDB1834,0,4,50,1,0,0.0
01a6f56556ed37eb958f5c25ea5b469b,RC6422,1,31,51,1,0,0.0
01a97a71a6ced185989f87e03bc52525,DCP32070,0,154,82,0,0,0.0
01af7b4b6319ef81b5e8523b5a6d231f,TK-0006,0,499,104,1,0,0.0
01b15471ea61125ca2fb0acb65817ecf,21814-P4V-000,1,327,35,1,0,0.0
01b16b2e5f6acb3a6d8a532e62e68033,CLN-36,1,369,26,1,01b16b2e5f6acb3a6d8a532e62e68033,1.0
01b214e9f57d1780d835f252f86233e4,339023,1,31,12,1,0,0.0
01b378857d26db6cc8f9a84a50f58d2f,VKBA3656,0,148,19,0,0,0.0
01b649d0c01d8aba7a5ac48b917260c3,7585,0,53,126,1,01b649d0c01d8aba7a5ac48b917260c3,1.0
01ba53e812c744627ee0f4f9dcaf439e,1 987 947 812,1,160,14,0,0,0.0
01bb6b8b4595a2a7b81c8353de2952c6,RS5124,1,117,12,1,0,0.0
01bed2909138cf4cc353ef1904803d71,OC295,0,29,49,1,01bed2909138cf4cc353ef1904803d71,1.0
01c3098b2d24a9034f6fe0cce8fbf387,54618-4M400,1,307,26,0,0,0.0
01c84f8cba36b997e583b3c5c55f363e,G32279L,1,499,12,1,0,0.0
01ca5b0e80d04c445c5377b31b9b3933,333197,1,31,12,1,0,0.0
01cb1c716de204ce5245f6a5a8305493,K015662XS,0,14,15,1,01cb1c716de204ce5245f6a5a8305493,1.0
01ccbe042a793c5aa1606bfea735a0a0,P 85 109,0,68,50,1,0,0.0
01cee05519e9461303782bc3ad7852df,C9456,0,499,27,1,01cee05519e9461303782bc3ad7852df,1.0
01d08be944a4454b883a915636252eeb,04466-60070,1,301,50,0,0,0.0
01d123a38a9cfe11ba8c9511ecbd9193,CRN-41,0,369,59,1,0,0.0
01d3c563b7af1b5f9178b55325bd050e,3 397 007 256,0,160,136,1,0,0.0
01d410e60bf7b6289d12b87bf5d4795c,BP6ES,1,30,97,1,0,0.0
01d68ae2dcb47b643d21caed1949022f,C9370,0,499,27,1,0,0.0
01dc5086872bcfe78bb2ce45df7afce5,WB-1124,0,499,18,1,01dc5086872bcfe78bb2ce45df7afce5,1.0
01dc50fb8a49171a74a28a1ab59a7db6,TH39082G1,0,14,61,1,01dc50fb8a49171a74a28a1ab59a7db6,1.0
01dfa09a7794b4135522c590bb016301,GDB1565,0,4,50,1,0,0.0
01e01846656d55e6c20a435c23704f51,3 397 118 905,0,160,136,1,0,0.0
01e46dcd89e3b4f8d4c9dafdc937113b,62022RSCM,1,460,36,1,01e46dcd89e3b4f8d4c9dafdc937113b,1.0
01e63ac0750151cda59678fe4cd9d179,C4T-14841,1,625,51,1,0,0.0
01e6bd2d24f2dbb4326fb9626791a2b9,36343,0,1328,116,1,01e6bd2d24f2dbb4326fb9626791a2b9,1.0
01e834fe3c1979a6eba5eef24c76b819,C 24 028,0,131,40,1,0,0.0
01ea4192d1cf70600a9bf05fb5a175ad,GDB1330,1,4,50,1,0,0.0
01ec8eb0c36e32b8441f78838a835e10,HGB35312,0,183,19,0,0,0.0
01ee03f915843ffe37c81cf50b204bdc,333317,1,31,12,1,01ee03f915843ffe37c81cf50b204bdc,1.0
01f2faa921fd319d0d9bc43d99eace31,LPG1,1,30,96,1,0,0.0
01f54d71ac1162d4994a3496e518ad1d,HUB147-32,1,407,19,1,0,0.0
01f801aaaae29efecc6f3d070c780d26,ME-1595,1,499,27,1,01f801aaaae29efecc6f3d070c780d26,1.0
01fb0119cacd5597548be2b5237bd23d,90915-10004,1,301,49,0,0,0.0
01fb50c256a8810b5be567b6bdd21d24,CRN-51,1,369,59,1,0,0.0
01fdeab29aba457a6f1aedb1bf0f0e17,C9237,1,499,31,1,0,0.0
01fe954151dd2371d2f527df44fc6780,338109,1,31,12,1,0,0.0
020017b033907fadc25e0656917a8da4,3225-00052,0,14,112,1,0,0.0
0200892c21b82c4e479400e58d96abde,339156,0,31,12,1,0,0.0
0200b0058fc5bc4a41ca41b77dfe3b96,N13N16F00,1,596,21,0,0,0.0
02050555b49e52fecb3f15419ad19c25,339012,1,31,12,1,0,0.0
020582a042e67073424cbeb0d8028585,K015662XS,0,14,15,1,020582a042e67073424cbeb0d8028585,1.0
02094f83b9418e1fd7ab1f4c559b90df,AK-B-07,0,603,91,1,02094f83b9418e1fd7ab1f4c559b90df,1.0
020b55e2a534f1441211fa28bda6d1eb,3970,0,53,126,1,020b55e2a534f1441211fa28bda6d1eb,1.0
020badc9d11beb928a1ba004d0546ce5,90369-43009,1,301,18,0,0,0.0
02187a7fefa4369968cd10f1086c69b1,L10460B,1,499,6,1,0,0.0
0218adced29aa1b33becc0b213e7ec13,18604,0,124,31,1,0218adced29aa1b33becc0b213e7ec13,1.0
021a4c5bf88f53ef09b50f0c82f278bc,826213,0,215,80,1,0,0.0
021cd9c529f8975433c4f13c4f698c10,DF4104,0,4,4,1,021cd9c529f8975433c4f13c4f698c10,1.0
021d099d94422de4c6ae92fa43ab7a93,25165,1,124,104,1,021d099d94422de4c6ae92fa43ab7a93,1.0
021dddae10cd5329c2aa12d7a8a9b305,24034,0,124,32,1,021dddae10cd5329c2aa12d7a8a9b305,1.0
021df125e9d68622dbecd0cc5ad8d8f9,C7105LR,0,499,26,1,0,0.0
021fa56cdbad40d885584f035e79bf44,PR-84622,0,499,25,1,0,0.0
0220db0b30987b32bd2847c229658cce,C9382,1,499,27,1,0,0.0
0229226265a1957a25629f430f75e73f,332109,0,31,12,1,0,0.0
022b9eff424f08097bc11fb105789cd2,DF4115,1,4,4,1,0,0.0
02305453cb1d3f5187493c11c8131d20,23979,0,63,12,1,02305453cb1d3f5187493c11c8131d20,1.0
02315d7cf07cc5fb86a8828a58e3af90,FC40858S03,1,407,18,0,0,0.0
0232c05347035dd19e5afb49dc976323,B-214,1,55,13,1,0232c05347035dd19e5afb49dc976323,1.0
0234504d9cf90be58629f52423d5d7c6,TH14178G1,0,14,61,0,0,0.0
0234c253dafad1f56f93a98027072dd5,CVHO-47,1,369,27,0,0,0.0
0234db923806d10af443982a5c7c5e93,C9218,1,499,31,1,0,0.0
023571215d09c2187157ff8b30b53971,826710,0,215,80,1,023571215d09c2187157ff8b30b53971,1.0
02379296ecb493788221c0f18f47759b,VKBA6537,1,148,18,0,0,0.0
023af8eff27e7138be0435792ca4429b,PU126231ARR9D,1,460,16,1,0,0.0
023b5e9231bd97d34104faaaf642b27f,334137,1,31,12,1,0,0.0
023be2a85278ed23139006e0a96f3efa,CQM-1,0,369,29,0,0,0.0
023ed40936e47aa0a0ed95b7cbe9822e,K035565XS,0,14,15,1,0,0.0
023f3048b3fffd8a0fd540c32344dc72,03212,0,124,27,1,0,0.0
02438697d708d5db41f081a47abf835f,17177,0,286,66,1,0,0.0
